cycle,constant_current_time,constant_voltage_time,avg_temp_charge,DVD,Capacity,avg_temp_discharge,TIEVD,TVE
1,3608.812,6907.188,27.09775038276125,1.5610785899121766,2.035337591005598,32.142777859921516,2211.516,1.0725711298141092
2,3617.391,6867.156000000001,27.24330950353038,1.6570175491491757,2.0251402460314116,32.29307515705474,2269.328,1.174242651929705
3,3570.687,6827.2029999999995,27.173138796303842,1.571059383748401,2.013326371345464,32.24414709253608,2269.609,1.1346092743071154
4,3544.828,6950.375,27.058181783567154,1.5378289282815332,2.0132846655407413,32.14711742429942,2269.953,1.1128774576827605
5,3547.0,7245.6720000000005,27.010664589975647,1.7081387284401832,2.000528337624771,32.06687277315468,2268.875,1.234444963121113
6,3512.532,7277.453,27.092063790042364,1.581068227440083,2.0138990759931645,32.03447836207717,2307.516,1.1206770428726889
7,3512.328,6615.234,27.295000789108386,1.712636124868772,2.013101105626967,32.11157496697372,2306.234,1.2183741589087733
8,3481.453,6666.4999999999945,27.231094729512908,1.6195611339312963,1.96878982627284,32.112576242471775,2252.015,1.1845732486644793
9,3451.36,6710.733999999999,27.153987730434693,1.5624398525942693,1.9681661764334244,32.03566207329278,2231.453,1.1395790391243459
10,3448.75,6670.625,27.145539720170813,1.7750441967106698,1.9572307917560536,31.99527968872302,2213.063,1.2838218168743805
11,3415.688,6597.5470000000005,27.105127508769446,1.6375122654572127,1.9455991514129352,31.874127571841353,2213.437,1.192677094045078
12,2804.704,6782.171,27.100618830315568,1.5697288858315996,1.9347505044841131,32.120959708576166,2175.703,1.1483879273301616
13,3361.125,6591.234,27.34643005152544,1.528392034312624,1.9232799539368028,32.11021168908644,2156.984,1.1328290682465854
14,3334.8589999999967,7423.172000000008,27.13044941257913,1.6338111535122986,1.911889930948487,31.989061278918154,2156.407,1.204537345462114
15,3312.657,6609.093,27.16494621497475,1.7602840270337934,1.9010667141979305,31.878814448635442,2118.671,1.284839678381455
16,3300.125,6700.125,27.122265060515833,1.8120664044329509,1.8891989948061456,31.767450711024402,2098.938,1.3100692356437016
17,3267.671,6668.360000000001,27.091186922536306,1.6091382628757387,1.878278372248849,31.78991634963658,2081.438,1.1693826209306275
