,cycle,ambient_temperature,datetime,sense_current,battery_current,battery_impedance,rectified_impedance,Re,Rct
0,1,24,2008-04-18 20:55:29,(-1+1j),(-1+1j),(-0.09963270993545563-0.3756907765688753j),(0.062339453996637685-0.00034007697690846377j),0.03816813609946085,0.06158094574229446
1,2,24,2008-04-18 22:39:16,(-1+1j),(-1+1j),(0.11042371978101274+0.7123832103837491j),(0.08775805396665175-0.004012835560922666j),0.042352200255114755,0.07946205744298855
2,3,24,2008-04-19 02:14:27,(-1+1j),(-1+1j),(-0.10350906656475028-0.37868710379814635j),(0.061081980232220695-0.00036853406027713827j),0.03971312292013592,0.06180654339682964
3,4,24,2008-04-19 03:57:24,(-1+1j),(-1+1j),(0.0662095000842506+3.6313203100037454j),(0.08739050089415998-0.0034412923146812944j),0.04171928239305599,0.08085099253522705
4,5,24,2008-04-19 07:32:33,(-1+1j),(-1+1j),(-0.10202087660846569-0.37764646215333897j),(0.05912045008265735-0.0008380123001540697j),0.03840146399106517,0.06100130384680727
5,6,24,2008-04-19 09:15:10,(-1+1j),(-1+1j),(-0.5998055529916778-2.4639749252127188j),(0.08346141651343121-0.0031647266326033942j),0.041725543288745344,0.07324252372827775
6,7,24,2008-04-19 12:47:00,(-1+1j),(-1+1j),(-0.10387724073654642-0.3797821915589447j),(0.05966070548653777-0.00027122208594206726j),0.0371051772037323,0.06007565108189894
7,8,24,2008-04-19 14:28:58,(-1+1j),(-1+1j),(-3.033125225036406+3.4928979685506465j),(0.08182434877344129-0.0031251455590788966j),0.039929523505293565,0.07752548996987343
8,9,24,2008-04-19 18:12:47,(861.5923461914062-22.995481491088867j),(250.82058715820312-92.11473846435547j),(0.07311928896207251-0.0869770903993514j),(0.061332865299076944-0.0005981645682387742j),0.037833946033938984,0.061293760421866045
9,10,24,2008-04-19 19:55:05,(-1+1j),(-1+1j),(1.50994095389551+0.5667314369293639j),(0.08159663551536167-0.0034090140721806865j),0.040868280768717374,0.07683869552898764
10,11,24,2008-04-19 23:27:13,(-1+1j),(-1+1j),(-0.10389602087372124-0.3786248683971522j),(0.0604637259268448-0.0007551482424482158j),0.037520425405365855,0.060073134186248135
11,12,24,2008-04-20 01:08:11,(-1+1j),(-1+1j),(-3.413323307253259+2.761849026427598j),(0.08211581906476367-0.0035063339214724196j),0.04169865656080958,0.0720729677827527
12,13,24,2008-04-20 04:39:59,(-1+1j),(-1+1j),(-0.10656685499614117-0.3804431283599093j),(0.060960797103671596-0.0006179409192737793j),0.03739727137150672,0.0612330724542185
13,14,24,2008-04-20 06:20:57,(-1+1j),(-1+1j),(-1.2719701276839073-2.774297637932154j),(0.07971104235920727-0.00252789517949587j),0.03998676920342006,0.07363674363826805
14,15,24,2008-04-20 10:01:46,(-1+1j),(-1+1j),(-0.10433647011307047-0.3784033006310038j),(0.06050034753185469-0.000820735693378513j),0.03591968009886427,0.06057069111701671
15,16,24,2008-04-20 11:42:26,(-1+1j),(-1+1j),(-4.908956990484171+4.468774532071721j),(0.08209482394264085-0.0034674284293934165j),0.04146824914736063,0.06954303801749961
16,17,24,2008-04-20 15:22:22,(-1+1j),(-1+1j),(-0.1052015986820986-0.3781223372360556j),(0.06106985649876242+4.19703009478576e-05j),0.03738579892114978,0.06131737602920535
17,18,24,2008-04-20 17:03:01,(-1+1j),(-1+1j),(-4.556998055069329+3.1538636400354525j),(0.07950836773783665-0.003240502752792947j),0.040910536950841486,0.06973813181143433
