,cycle,ambient_temperature,datetime,sense_current,battery_current,battery_impedance,rectified_impedance,Re,Rct
0,1,24,2008-07-07 14:43:14,(832.7495727539062-27.377193450927734j),(327.5276184082031-90.7842025756836j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001
1,2,24,2008-07-07 16:14:05,(835.9423217773438-23.705551147460938j),(322.0389404296875-96.2201919555664j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602
2,3,24,2008-07-07 21:21:23,(826.402587890625-26.207107543945312j),(331.54071044921875-93.85986328125j),(0.1629655228519708-0.12775800437914078j),(0.09294069277949564-0.0014974520371454963j),0.06269644718508349,0.09161902925465781
3,4,24,2008-07-07 22:51:31,(830.45263671875-25.585594177246094j),(331.6527099609375-92.62203216552734j),(0.16390835126868192-0.12674855613259783j),(0.09252238313164637-0.002725446301123498j),0.0626070139256824,0.0946846935443713
4,5,24,2008-07-08 02:24:25,(825.3627319335938-26.3006534576416j),(333.90673828125-94.12255859375j),(0.16046582355049324-0.12823698518322757j),(0.09028810889472531-0.001422091509606886j),0.06137843058604763,0.09188288246238666
5,6,24,2008-07-08 03:54:18,(829.4901733398438-24.146562576293945j),(330.515625-95.3427734375j),(0.1644047771601629-0.12596945189458933j),(0.09377653776827388-0.002321834669802802j),0.06199882418368678,0.0960700817119328
6,7,24,2008-07-08 07:27:12,(828.2510375976562-27.632680892944336j),(331.8948974609375-92.52050018310547j),(0.16100487882494982-0.12766706338631792j),(0.09041967040136396-0.001294760590243651j),0.06133724861449716,0.09141202809622342
7,8,24,2008-07-08 08:57:01,(828.8895263671875-23.087051391601562j),(332.6394958496094-96.43423461914062j),(0.1630952194788181-0.1252703821722773j),(0.09111737226188099-0.002432471380381751j),0.06143403300566526,0.09201876447685577
8,9,24,2008-07-09 10:54:57,(823.335693359375-26.18627166748047j),(337.10809326171875-90.33663940429688j),(0.15859801893000725-0.12902392545660663j),(0.09049603478767695-0.0016249255670656557j),0.06246407536667202,0.08784495845315991
9,10,24,2008-07-09 12:24:23,(822.6604614257812-22.3265380859375j),(335.325927734375-95.65160369873047j),(0.1597239927393817-0.12490009123113202j),(0.08751439864746292-0.001720338388081854j),0.05911226141914418,0.08989822215265768
10,11,24,2008-07-11 08:27:23,(821.4202880859375-24.60649299621582j),(338.184326171875-95.24470520019531j),(0.15697025538833778-0.126265043992335j),(0.08895832126092987-0.0013482149068802136j),0.06105488892245489,0.08795484250803035
11,12,24,2008-07-11 09:56:29,(823.0781860351562-20.857789993286133j),(335.7420349121094-97.21025848388672j),(0.15833753937244388-0.12362079272912668j),(0.08655242794405799-0.0007982877918002961j),0.06100929812130678,0.08710663504547878
12,13,24,2008-07-12 06:13:58,(822.12158203125-24.400135040283203j),(336.5464172363281-93.38290405273438j),(0.1572778301839819-0.12754177031722108j),(0.08720043033280953-0.0017485648627191357j),0.06064904573360479,0.08754929973933033
13,14,24,2008-07-12 07:42:35,(820.7313842773438-22.738615036010742j),(337.4755859375-96.2292251586914j),(0.15710880674884262-0.12445295876244278j),(0.08588907300104272-0.0020221829222132424j),0.06219481868267621,0.08570971190558405
14,15,24,2008-07-13 02:47:19,(824.9985961914062-23.2403621673584j),(334.63604736328125-96.94113159179688j),(0.15995466146775145-0.1269645953461719j),(0.09109268080674661-0.00034564663085239746j),0.06106479153135479,0.08848482071807108
15,16,24,2008-07-13 04:15:14,(819.3057250976562-23.24424934387207j),(339.2863464355469-95.72944641113281j),(0.15524687509771293-0.12509986952794974j),(0.08623076205860328-0.0015002773502041302j),0.0595969662678692,0.08684055890192541
16,17,24,2008-07-15 04:43:00,(820.7229614257812-24.09144401550293j),(337.2821044921875-94.462158203125j),(0.1565433536588814-0.12673660143024562j),(0.08680488989766581-0.0016507272994417774j),0.06287106178477314,0.08500615970912836
17,18,24,2008-07-15 06:11:08,(821.1024169921875-22.0677547454834j),(338.6742248535156-96.91422271728516j),(0.15622280864879545-0.12430280692516249j),(0.0840218459566417-0.0019218015710329313j),0.06095075041521759,0.08544326049182116
18,19,24,2008-07-16 01:13:26,(822.5074462890625-22.938913345336914j),(335.48724365234375-94.61180114746094j),(0.15881085561183153-0.1268643192031652j),(0.08888879676935771-0.001552853919255601j),0.06279037977354894,0.08611082715769634
19,20,24,2008-07-16 02:40:58,(821.2100219726562-20.726072311401367j),(336.8671569824219-99.21346282958984j),(0.15737379659383144-0.1241120854735821j),(0.08445258379443986-0.002266563295574116j),0.062054327669918884,0.0841039159798283
20,21,24,2008-07-16 21:42:09,(821.7295532226562-23.683713912963867j),(337.4060974121094-96.38841247558594j),(0.15640777839374786-0.12625005160173386j),(0.08727256941826624-0.0011208330736386552j),0.06126874046942329,0.08711286500552247
21,22,24,2008-07-16 23:09:06,(817.4456787109375-25.4459228515625j),(339.8222961425781-91.57919311523438j),(0.15313457260069474-0.12647507694407736j),(0.08450177188059997-0.001991293831940645j),0.0627057717757101,0.08381129726407618
22,23,24,2008-07-19 08:53:42,(825.3395385742188-25.632287979125977j),(334.7892150878906-94.39962768554688j),(0.16054656610249862-0.12719563970930037j),(0.0909016943764537-0.0014717944013195553j),0.060230110173563736,0.0877848925885978
23,24,24,2008-07-19 10:20:17,(820.2088012695312-23.811004638671875j),(338.9664306640625-95.38951110839844j),(0.15438005643563318-0.12522570999485802j),(0.08562443809561818-0.0016447569761189852j),0.061801794410442104,0.08516278937578788
24,25,24,2008-07-30 10:47:40,(819.5391235351562-20.09537696838379j),(337.0845947265625-98.3910140991211j),(0.1575242785254178-0.12363902926062481j),(0.0871635358474081-0.0023252594745214864j),0.06335998574164574,0.08600824718099127
25,26,24,2008-07-31 11:04:34,(822.5146484375-20.77463722229004j),(335.868408203125-98.66023254394531j),(0.15793044341989532-0.12492788645015576j),(0.0863730283466259-0.0018326263512736761j),0.06254971088581063,0.0843178209735426
26,27,24,2008-07-31 23:02:54,(820.6735229492188-22.533971786499023j),(338.6488037109375-95.1364517211914j),(0.1569598946456735-0.12589881783444704j),(0.08585099537472324-0.0016962491278099418j),0.06088396756004627,0.08522512012699898
27,28,24,2008-08-02 08:55:03,(822.354248046875-22.64483642578125j),(336.775390625-94.27940368652344j),(0.15864434835934843-0.12772232762373426j),(0.08878821118982205-0.0016644082904776383j),0.062318942746054214,0.0859882467642574
28,29,24,2008-08-02 10:24:31,(822.5797729492188-21.703453063964844j),(336.1395568847656-96.4549789428711j),(0.1570953399180724-0.12369575103324358j),(0.0860667842856147-0.0021450791757588726j),0.0619094323498869,0.08488075014924702
29,30,24,2008-08-03 05:07:23,(824.8170776367188-24.32291030883789j),(334.0552062988281-94.10960388183594j),(0.15923610446380337-0.1264257354431803j),(0.08976577285804592-0.002128404536821079j),0.06328841535782422,0.08847320583286679
30,31,24,2008-08-03 06:35:43,(820.458740234375-21.048721313476562j),(337.8021240234375-96.98387908935547j),(0.1574283483929803-0.12390584654382679j),(0.08540549865588479-0.0010827963215385872j),0.06244245641291251,0.08553075414412509
31,32,24,2008-08-04 01:16:52,(826.4834594726562-26.991086959838867j),(329.89117431640625-92.8631362915039j),(0.16439231343002889-0.12803356003302066j),(0.08998235472921862-0.0012347362663664685j),0.06272459952717446,0.09004616962738907
32,33,24,2008-08-04 02:44:16,(822.3824462890625-20.649559020996094j),(337.0257873535156-96.98249816894531j),(0.1594049299445732-0.12397325696344817j),(0.08859611372734001-0.0021076938720450155j),0.06319723456202592,0.0872013762847039
33,34,24,2008-08-05 09:19:02,(822.0313110351562-22.205888748168945j),(337.24298095703125-96.10569763183594j),(0.1575210709806738-0.12496406694592056j),(0.08852504110840745-0.0019190359922046688j),0.06332864514547537,0.08797976668527188
34,35,24,2008-08-06 03:56:03,(829.0833129882812-25.76007080078125j),(332.04888916015625-93.4491195678711j),(0.16418252486955984-0.12815538508262195j),(0.09167442173284969-0.0025054686377840407j),0.06438276069827963,0.09108149736581252
35,36,24,2008-08-06 05:22:08,(824.825927734375-23.246789932250977j),(336.5957946777344-96.62137603759766j),(0.15929670104251928-0.12492461584269016j),(0.08937515372589688-0.0014304748907871716j),0.06322621852227772,0.08762970040962542
36,37,24,2008-08-06 23:55:49,(830.1919555664062-23.544452667236328j),(328.8283996582031-95.0986328125j),(0.16444805789637143-0.12703861136440284j),(0.09200012121361463-0.0017950965443925741j),0.06275964602343843,0.09224881675419787
37,38,24,2008-08-07 01:21:18,(825.170654296875-22.751258850097656j),(335.4525451660156-95.11933135986328j),(0.159555034897469-0.1249561187353398j),(0.08852462944774714-0.0016673666500187075j),0.06306423201152148,0.08878755046571668
38,39,24,2008-08-08 11:08:17,(826.152587890625-21.386585235595703j),(332.49884033203125-97.47159576416016j),(0.16333072522272976-0.1251480935185578j),(0.09079657992147615-0.0021516701991117766j),0.0654312939216661,0.08842632755307295
39,40,24,2008-08-09 11:05:03,(828.1141967773438-26.366249084472656j),(333.94586181640625-91.20929718017578j),(0.16329653320862994-0.12940970844256758j),(0.0907271329800694-0.0025230154748384762j),0.0640350502034096,0.09164169330042057
40,41,24,2008-08-09 12:29:58,(824.6292114257812-22.056554794311523j),(332.6336669921875-95.86528778076172j),(0.16184164022437547-0.1254536211994525j),(0.08828193541582276-0.001574479513477125j),0.06431683619311312,0.08680690256687046
41,42,24,2008-08-10 06:47:17,(830.6940307617188-26.744422912597656j),(329.2579040527344-93.22113800048828j),(0.16586955069861714-0.12788556838027967j),(0.09154864489138084-0.0019251534577329303j),0.06546443423939434,0.0925002319045349
42,43,24,2008-08-10 08:11:28,(825.5186767578125-23.627717971801758j),(333.28314208984375-94.74910736083984j),(0.16314021648401983-0.12651977166677336j),(0.08940680554327081-0.002434307618790329j),0.06545297065463919,0.0888408418585299
43,44,24,2008-08-11 02:21:28,(831.9466552734375-25.55074691772461j),(326.48785400390625-93.70936584472656j),(0.16707430839750112-0.12745650680372853j),(0.09257403992807905-0.0017374269278624473j),0.06605675981972527,0.09024364278181114
44,45,24,2008-08-11 03:45:14,(827.9072265625-23.567123413085938j),(329.9917907714844-94.80509948730469j),(0.16369839030576358-0.12607446556658208j),(0.09066162032644283-0.001961595832988155j),0.06550914978909368,0.08957234616173203
45,46,24,2008-08-15 04:52:13,(827.8003540039062-22.906869888305664j),(330.6769714355469-95.50170135498047j),(0.16302416581394844-0.12541063294857058j),(0.08916669188068657-0.0018934293383306073j),0.06602461415916355,0.0893968694708912
46,47,24,2008-08-15 22:55:12,(831.197265625-24.511903762817383j),(326.7568054199219-94.08122253417969j),(0.1660941739565058-0.12639489976991802j),(0.09122283406181261-0.0017526692252554182j),0.06528925688517716,0.0913916544478255
